raw_id,source,raw_text
RAW001,员工反馈,这个新系统启动也太慢了吧，点个图标要等老半天，每天开机都浪费时间。
RAW002,IT工单,工单号T87421：员工A反映，进行数据同步时频繁出现‘连接超时’错误，导致本月报表延迟了两天。
RAW003,部门经理转述,王经理说，他们团队觉得现在审批流程比用老系统还复杂，一个简单的采购申请要经过五个人点击，效率反而低了。
RAW004,内部问卷,工具界面的设计不够直观，很多功能入口藏得太深，新同事普遍反映上手困难，需要反复询问老员工。
RAW005,系统日志分析,日志显示，在每周一上午9:30-10:00高峰期，报销模块的API响应时间平均超过8秒，疑似并发处理能力不足。
RAW006,员工反馈,移动端APP闪退问题，我的手机是XXX型号，每次上传图片必崩。
RAW007,IT工单,为什么集成SAP的那个接口三天两头断？财务部已经在抱怨了，每次都要手动导出再导入，违背了自动化的初衷。
RAW008,部门经理转述,李总提到，新系统上线后，用于培训员工的工时比预期多了30%，这部分隐性成本没有事先评估。
RAW009,内部问卷,系统内置的报表模板太少，而且自定义设置很麻烦，IT部门总是说要排期开发，等排到的时候业务需求都变了。
RAW010,员工反馈,有时候保存按钮点了没反应，也不知道到底存没存，害我重做了好几遍方案。
RAW011,系统日志分析,监测到在文件上传服务中存在内存泄漏风险，长时间运行后服务响应会逐渐变慢。
RAW012,IT工单,请求为市场部的‘竞品分析’模块开通跨部门数据查看权限，流程配置过于死板，无法满足临时性项目需求。
RAW013,员工反馈,我觉得这个新工具挺好用的，特别是任务看板，让我们小组的工作进度一目了然。
RAW014,部门经理转述,销售总监反馈，工具和CRM系统的数据打通做得不好，客户信息经常对不上，重复录入问题严重。
RAW015,内部问卷,关于成本：系统每年的维护费加上给供应商的升级服务费，真的值吗？感觉很多功能我们根本用不上。
RAW016,员工反馈,卡死了，又卡死了！
RAW017,IT工单,错误日志：ERR_0054，用户在执行‘批量修改物料状态’操作时，因事务超时导致数据部分更新，需要检查逻辑。
RAW018,系统日志分析,查询分析：‘月度销售汇总’查询平均耗时45秒，涉及多表关联且未有效使用索引，是性能瓶颈。
RAW019,员工反馈,有没有可能增加一个‘暂存草稿’的功能？现在写一半中断，再进来就得从头开始。
RAW020,部门经理转述,研发组长抱怨，系统提供的项目配置项太少，很多敏捷开发的流程没法在里面完美对应，还得靠线下表格。
RAW021,内部问卷,培训文档还是基于旧版本写的，新版本界面都改了，文档和实际根本对不上，新手看完更懵。
RAW022,IT工单,用户频繁反馈在Chrome浏览器最新版上，部分页面样式错乱，按钮重叠。
RAW023,员工反馈,真心难用，找个设置入口翻了三分钟菜单。
RAW024,系统日志分析,用户‘匿名6789’在14:20-14:35期间，连续尝试提交表单失败8次，原因为附件大小超出未提示的限制。
RAW025,员工反馈,说好的降本增效，结果现在为了用这个工具，我们得多花半天时间学各种复杂操作，本末倒置了。
RAW026,IT工单,集成项目需要开放某个API接口的批量操作权限，目前被限制，影响数据迁移效率。
RAW027,部门经理转述,运营经理提到，希望工具能支持更灵活的告警规则配置，比如库存低于某个阈值自动通知特定群组。
RAW028,内部问卷,最近一次系统更新后，之前导出的Excel模板格式全乱了，财务那边不认，又得重做，浪费时间。
RAW029,员工反馈,登录流程太繁琐，又是密码又是手机验证码，内部系统没必要搞这么复杂吧？
RAW030,系统日志分析,缓存命中率近期从95%下降到70%，疑似缓存策略调整不当，导致数据库压力增大。
RAW031,IT工单,请求优化离职员工数据归档流程，目前需要手动逐一操作账号停用和权限回收，效率极低且易出错。
RAW032,员工反馈,能不能把那个烦人的提示框去掉？每次删除东西都要确认两次，我觉得一次就够了。
RAW033,部门经理转述,项目经理反馈，任务分配后，工具没有很好的提醒机制，员工经常忘记，还是要靠口头催，降低了管理效率。
RAW034,内部问卷,数据看板刷新速度太慢，领导要实时数据的时候根本等不起，还得自己去系统里手动跑查询。
RAW035,员工反馈,新版本的‘快捷键设置’很方便，给好评！
RAW036,IT工单,关于系统稳定性的工单本周已收到12起，主要集中在周一和月末结账日，请评估服务器资源是否需要扩容。
RAW037,系统日志分析,在数据备份作业期间，系统I/O等待时间显著增加，影响了在线业务的响应速度。
RAW038,员工反馈,这个工具的培训，来一次根本学不会，内容太多了，而且当时听懂了，过两周不用全忘光。
RAW039,部门经理转述,采购部陈经理质疑：为了这个系统买的那些专用终端设备，使用率极低，成本是否真的节约下来了？
RAW040,内部问卷,流程配置审批节点固化，无法根据项目大小、紧急程度进行动态调整，太不灵活了。
RAW041,员工反馈,搜索功能是摆设吗？按关键词搜自己上传的文档，经常搜不到。
RAW042,IT工单,需要技术支持：在配置‘新员工入职流程’自动化时，条件判断逻辑无法满足‘实习生’和‘正式工’的差异化入职手续。
RAW043,系统日志分析,用户会话在闲置15分钟后应自动断开，但日志显示部分会话保持连接长达数小时，存在安全隐患。
RAW044,员工反馈,我负责的模块，工具里的数据和实际纸质单据总是对不上，不敢信，还是得自己再核一遍，没省事。
RAW045,部门经理转述,技术总监指出，系统开放的API文档不清晰，接口变更没有及时通知，导致多个自研小应用经常中断。
RAW046,内部问卷,移动端功能阉割得太厉害，电脑上能做的，手机上大多做不了，外出办公很不方便。
RAW047,员工反馈,报错提示信息都是代码，比如‘NullPointerException at line 345’，这让我怎么看？
RAW048,IT工单,咨询：能否将部门会议日程自动同步到系统日历？目前需要手动添加，增加操作负担。
RAW049,系统日志分析,在生成大型PDF报告时，服务端CPU使用率长时间维持在100%，可能影响其他用户操作。
RAW050,员工反馈,流程图里的箭头有时候画错了想改，特别难拖动，经常误触。
RAW051,部门经理转述,销售团队多人反馈，工具里看自己的业绩排名和佣金计算，逻辑复杂且不透明，缺乏信任感。
RAW052,内部问卷,强烈建议增加一个‘常用功能’置顶栏，现在每次都要去多层菜单里找常用操作，效率太低。
RAW053,员工反馈,好消息！上周修复的那个数据不同步问题，现在真的好了，终于不用两边核对了。
RAW054,IT工单,问题描述：用户反映在Windows 11特定版本上，系统内置的编辑器无法正常输入中文。
RAW055,系统日志分析,监测到数据库连接池在周五下午频繁出现排队，建议检查连接回收机制。
RAW056,员工反馈,培训？上线前就看了个视频，连个可以动手的测试环境都没有，怎么学？
RAW057,部门经理转述,HRBP希望工具能整合培训报名、学习进度跟踪和考核功能，现在这些分散在好几个地方。
RAW058,内部问卷,系统运行产生的电费、机房冷却费用，是否计算在‘降本’的收益里？感觉综合成本并没有降低。
RAW059,员工反馈,终于支持多标签页打开了，之前只能开一个窗口，切来切去太麻烦。
RAW060,IT工单,流程配置权限申请：市场部需要自行创建和发布调查问卷模板，目前该功能被锁死，需IT部门操作。
RAW061,系统日志分析,旧版数据接口将于下月停用，日志显示仍有15%的请求在调用旧接口，存在兼容性风险。
RAW062,员工反馈,工具里的消息提醒太多了，有点骚扰，而且很多跟我无关。能不能设置提醒偏好？
RAW063,部门经理转述,仓储主管反馈，库存数据更新存在延迟，扫码出入库后，系统数据要半小时后才能看准确，影响发货。
RAW064,内部问卷,每年为了维持这个系统，需要额外雇佣一个专职运维人员，这笔人力成本之前没算进去吧？
RAW065,员工反馈,页面加载时那个转圈圈的图标，能换成进度条吗？至少知道要等多久。
RAW066,IT工单,集成需求：希望与新的云存储服务打通，实现文件在线预览，减少下载本地再打开的步骤。
RAW067,系统日志分析,系统在周二凌晨2点的自动备份任务，近期多次因磁盘空间不足而失败，需清理历史数据。
RAW068,员工反馈,用着还行，就是偶尔反应慢，总体比以前方便一点。
RAW069,部门经理转述,财务总监对费用报销的审批流程配置有意见，认为金额梯度设置不够精细，小额报销也需要高级别审批，耽误时间。
RAW070,内部问卷,系统升级前能不能先做个影响评估？上次升级后我常用的报表功能直接没了，严重影响工作。
RAW071,员工反馈,和微信/钉钉的通知打通了吗？最好审批消息能直接推到微信，不然总得开着系统页面。
RAW072,IT工单,紧急：生产环境数据库疑似出现死锁，导致相关业务功能完全不可用，需立即排查。
RAW073,系统日志分析,用户行为分析显示，超过60%的用户从未使用过系统提供的‘知识库’功能，建议进行入口优化或功能价值宣讲。
RAW074,员工反馈,学习成本太高了，对我们这些电脑基础不好的老员工太不友好。
RAW075,部门经理转述,研发副总希望系统能提供更细粒度的代码提交与任务关联的配置，便于追踪需求实现。
RAW076,内部问卷,系统和现有OA系统的审批数据不一致，有时会出现两边状态不同步的情况，需要人工核对，增加工作量。
RAW077,员工反馈,输入框的自动补全功能不准，经常补全一些无关的词，还不如不补。
RAW078,IT工单,建议：在用户设置中增加‘默认首页’自定义功能，让不同岗位的员工登录后直接看到对自己最重要的页面。
RAW079,系统日志分析,单点登录（SSO）集成后，会话超时设置与门户不一致，导致用户需频繁重新登录。
RAW080,员工反馈,那个新出的项目协作空间真的不错，我们小组用它来共享文档和讨论，比以前高效多了。
