raw_id,source,raw_text
RAW001,客服工单,续约价格太高了，能不能优惠点？
RAW002,销售转述,销售转述说客户觉得性价比低，考虑竞品。
RAW003,问卷,价格不合理
RAW004,邮件反馈,关于我们公司使用贵公司SaaS产品的续约事宜，我们认为系统在最近几个月出现了频繁的崩溃问题，这严重影响了我们的业务流程。同时，技术支持响应时间过长，导致问题无法及时解决。此外，续约价格相比去年上涨了20%，这超出了我们的预算。希望贵公司能考虑这些问题，否则我们可能不得不寻找替代方案。
RAW005,用户访谈,访谈中客户提到价格是续约的主要障碍。
RAW006,App评论,太贵了！
RAW007,季度回顾会议记录,会议上客户表示价格太高，希望降价。
RAW008,NPS评论,产品不错但价格让人犹豫。
RAW009,客服工单,续费太归了，有没有折扣？
RAW010,销售转述,客户反馈说价格相比去年涨了30%，无法接受。
RAW011,客户成功,在跟进中，客户多次提到价格问题。
RAW012,问卷,性价比不高
RAW013,邮件反馈,我们收到了续约通知，但价格方面我们有异议，希望讨论。
RAW014,用户访谈,用户说价格太高，可能会转向开源方案。
RAW015,App评论,收费太贵，功能一般。
RAW016,季度回顾会议记录,会议记录显示客户对价格不满。
RAW017,NPS评论,如果价格能降一点，我可能会续约。
RAW018,客服工单,价格问题，需要联系销售。
RAW019,销售转述,销售说客户觉得价格与价值不匹配。
RAW020,客户成功,客户成功经理反馈，价格是续约的关键因素。
RAW021,问卷,费用太高
RAW022,邮件反馈,针对续约，我们认为当前定价过高，建议提供分期付款选项。
RAW023,客服工单,我们需要的报表功能一直没加上。
RAW024,销售转述,销售转述说客户希望增加移动端支持。
RAW025,用户访谈,访谈中用户指出功能太基础，无法满足复杂需求。
RAW026,问卷,功能缺失
RAW027,App评论,缺少集成选项
RAW028,邮件反馈,关于产品功能，我们建议增加自定义工作流，以更好地匹配我们的业务流程。
RAW029,季度回顾会议记录,会议上客户要求更多API接口。
RAW030,NPS评论,功能还行，但需要改进。
RAW031,客服工单,报表导出格式太少了。
RAW032,销售转述,客户反馈功能不全，考虑换系统。
RAW033,客户成功,客户成功反馈，用户需要更强大的数据分析功能。
RAW034,问卷,需求不匹配
