raw_id,source,raw_text
RAW001,客服工单,导出PDF格式全乱了，表格都对不齐。
RAW002,数据分析师反馈,Excel导出后，日期列变成数字了，咋回事？
RAW003,IT部门反馈,大数据集导出到CSV时，系统卡死了。
RAW004,问卷,导出功能挺方便的，一键搞定。
RAW005,续费沟通记录,导出报告的速度太慢，每次都要等好久，这影响我们工作效率。
RAW006,客服工单,我没法导出数据到PDF，总是报错。
RAW007,数据分析师反馈,CSV导出后，数字精度丢失了。
RAW008,IT部门反馈,导出API调用失败，日志显示权限问题。
RAW009,问卷,导出报表时，有时候会卡住不动。
RAW010,续费沟通记录,导出功能需要改进，目前只能支持基本格式，我们希望有更多选项。
RAW011,客服工单,PDF导出后，图表模糊不清。
RAW012,数据分析师反馈,Excel导出时，筛选条件没生效，导出了全量数据。
RAW013,IT部门反馈,导出任务队列堆积，服务器负载高。
RAW014,问卷,导出速度还行吧，不算太慢。
RAW015,续费沟通记录,导出功能是我们的痛点，经常需要手动调整格式，浪费了很多时间。
RAW016,客服工单,无法导出带筛选的数据，总是导出全部。
RAW017,数据分析师反馈,导出Excel后，公式引用错误。
RAW018,IT部门反馈,导出过程中断，网络连接超时。
RAW019,问卷,导出PDF有时成功有时失败，不稳定。
RAW020,续费沟通记录,导出功能可以更智能点，比如自动适配不同设备。
RAW021,客服工单,导出CSV时，特殊字符乱码。
RAW022,数据分析师反馈,导出报表后，数据精度下降，小数位没了。
RAW023,IT部门反馈,导出任务频繁失败，需要检查服务器配置。
RAW024,问卷,导出功能简单易用。
RAW025,续费沟通记录,导出速度慢的问题一直没解决，我们考虑换工具了。
RAW026,客服工单,数据准确性有问题，销售数字和系统对不上。
RAW027,数据分析师反馈,数据刷新后，仪表盘显示旧数据，计算错误。
RAW028,IT部门反馈,数据源同步延迟，导致报表不准。
RAW029,问卷,数据有时候不准确，但大部分还行。
RAW030,续费沟通记录,数据准确性是核心，目前有偏差影响决策，需要加强校验。
RAW031,客服工单,计算公式在报表里结果不对。
RAW032,数据分析师反馈,数据不一致，同一指标在不同图表中值不同。
RAW033,IT部门反馈,数据刷新失败，日志显示连接超时。
RAW034,问卷,数据准确性需要改进，尤其是实时数据。
RAW035,续费沟通记录,数据准确性问题导致我们审计时遇到麻烦，续费前必须解决。
RAW036,客服工单,数据延迟严重，今天的数据明天才显示。
RAW037,数据分析师反馈,聚合计算错误，总数和明细加起来不对。
RAW038,IT部门反馈,数据缓存机制有问题，导致显示错误数据。
RAW039,问卷,数据准确性还行，但偶尔有波动。
RAW040,续费沟通记录,数据准确性影响业务，如果持续这样，我们不会续费。
RAW041,客服工单,数据指标定义混乱，用户看不懂。
RAW042,数据分析师反馈,数据源连接成功，但数据拉取不全。
RAW043,IT部门反馈,数据校验规则缺失，需要自定义校验。
RAW044,问卷,数据准确性是关键，目前基本满足需求。
RAW045,续费沟通记录,数据准确性提升后，我们愿意续费，但需要看到改进。
RAW046,客服工单,仪表盘配置太复杂，不会设置小部件。
RAW047,数据分析师反馈,布局保存后，下次打开就乱了。
RAW048,IT部门反馈,仪表盘加载慢，配置参数优化不足。
RAW049,问卷,仪表盘配置挺灵活的，可以自定义。
RAW050,续费沟通记录,仪表盘配置需要更多模板和向导，帮助新用户上手。
RAW051,客服工单,小部件拖放不响应，操作卡顿。
RAW052,数据分析师反馈,主题颜色有限，不能匹配公司品牌。
RAW053,IT部门反馈,仪表盘共享设置有问题，权限管理混乱。
RAW054,问卷,配置仪表盘需要一些技术知识，对我们来说有点难。
RAW055,续费沟通记录,仪表盘配置功能如果改进，可以提升用户体验，增加续费意愿。
RAW056,客服工单,仪表盘响应式设计差，手机上看不清。
RAW057,数据分析师反馈,过滤器设置不直观，经常选错条件。
RAW058,IT部门反馈,仪表盘性能监控不足，无法优化配置。
RAW059,问卷,仪表盘配置界面友好，但高级功能隐藏太深。
RAW060,续费沟通记录,配置复杂性是我们续费的阻碍，希望简化流程。
RAW061,客服工单,查询性能太差，一个简单查询要等几分钟。
RAW062,数据分析师反馈,查询超时频繁，影响分析工作流。
RAW063,IT部门反馈,查询引擎资源占用高，服务器响应慢。
RAW064,问卷,查询速度一般，有时候快有时候慢。
RAW065,续费沟通记录,查询性能是瓶颈，如果提升，我们考虑续费。
