raw_id,source,raw_text
RAW001,客服工单,AI输出质量不行，经常答非所问。
RAW002,用户访谈,这个AI写的文案太机械了，没人性，感觉像机器人写的。
RAW003,问卷,输出结果很好，帮助我节省了时间，推荐更准确。
RAW004,App评论,AI输出格式乱七八糟的，根本没法看。
RAW005,NPS评论,幻觉太严重，AI说的都是假的吧，瞎编乱造。
RAW006,社区反馈,推荐的商品完全不相关，浪费我时间，评分低。
RAW007,客服工单,客服AI听不懂人话，转人工还难，体验差。
RAW008,用户访谈,配额太少了，用几次就没了，不够用啊。
RAW009,问卷,担心我的数据被泄露，不安全，你们咋处理隐私？
RAW010,App评论,AI响应太慢了，等半天，急死人。
RAW011,NPS评论,今天天气不错。
RAW012,社区反馈,AI输出质量很好，建议大家多用用。
RAW013,客服工单,用户反馈说AI输出质量下降，最近都不准了。
RAW014,用户访谈,输出结果有错别字，不专业，影响使用。
RAW015,问卷,幻觉问题：AI推荐的内容有错误信息，误导用户。
RAW016,App评论,推荐系统太扯了，历史推荐挺准的，但最近不行了。
RAW017,NPS评论,AI客服解决了我的问题，快速有效，点赞。
RAW018,社区反馈,使用量管理不清晰，不知道怎么计算配额。
RAW019,客服工单,隐私政策模糊，让人不放心，数据安全咋保障？
RAW020,用户访谈,速度还可以，但偶尔卡顿，响应速度不稳定。
RAW021,问卷,AI输出啥玩意儿啊，完全不对，质量差。
RAW022,App评论,输出内容质量很差，没法用，希望改进。
RAW023,NPS评论,这个AI写的文章不错，挺有用的，正向体验。
RAW024,社区反馈,AI输出格式混乱，看不清楚，需要优化。
RAW025,客服工单,幻觉：AI捏造事实，推荐错误产品，误导消费者。
RAW026,用户访谈,推荐准确性低，推荐的内容不相关，用户满意度差。
RAW027,问卷,AI客服响应慢，不理解问题，需要改进算法。
RAW028,App评论,使用量配额太小，限制太多，付费用户也不够用。
RAW029,NPS评论,数据安全担忧：用户数据可能被第三方获取。
RAW030,社区反馈,AI响应速度时快时慢，整体还行，但需优化。
RAW031,客服工单,asdfghjkl
RAW032,用户访谈,总体体验不错，AI助手很方便，推荐给朋友。
RAW033,问卷,AI输出质量不稳定，有时候好有时候差，用户抱怨多。
RAW034,App评论,输出结果太长了，没重点，阅读体验差。
RAW035,NPS评论,幻觉错误：AI生成虚假新闻，责任重大。
RAW036,社区反馈,推荐系统不准确，推荐过时内容，用户流失。
