feedback_id,source,user_role,product_area,feedback_text,created_at
FB00001,appstore,客户成功,移动端,"续费看板金额和明细对不上，差了大概16万",2026-06-13
FB00002,appstore,客户成功,通知系统,"导出的字段顺序每次都不固定，能不能固定下来",2026-06-16
FB00003,support,技术负责人,仪表盘,"希望能导出 PDF 格式的报告，客户需要正式文档",2026-06-07
FB00004,appstore,客户成功,搜索功能,"数据分析页面加载太慢了，7秒都打不开",2026-06-18
FB00005,in-app,产品经理,仪表盘,"权限配置太复杂，新来的同事19天都搞不定",2026-06-16
FB00006,interview,技术负责人,导出功能,"移动端看板显示不全，iPhone上排版错乱",2026-06-19
FB00007,interview,技术负责人,API接口,"API 返回的数据格式和文档不一致",2026-06-08
FB00008,community,运营负责人,移动端,"搜索功能经常搜不到想要的结果",2026-06-14
FB00009,support,数据分析师,搜索功能,"仪表盘的图表类型太少了，缺少漏斗图",2026-06-02
FB00010,appstore,市场总监,API接口,"通知太多太频繁，希望能自定义规则",2026-06-22
FB00011,in-app,客户成功,移动端,"报表刷新后数据没有更新，需要手动清理缓存",2026-06-10
FB00012,support,HR主管,数据分析,"用户分群的条件设置不够灵活",2026-06-20
FB00013,support,HR主管,权限配置,"漏斗分析的转化率计算好像有问题",2026-06-20
FB00014,survey,产品经理,数据分析,"自定义指标的公式编辑器不好用",2026-06-24
FB00015,in-app,运营负责人,导出功能,"数据导入的时候没有错误提示，导入完了才发现少数据",2026-06-18
FB00016,appstore,CEO,BI报表,"希望能支持定时发送报表到邮箱",2026-06-19
FB00017,in-app,HR主管,BI报表,"多语言支持不够完善，英文界面有翻译错误",2026-06-22
FB00018,in-app,CEO,导出功能,"数据权限设置太粗，不能按部门隔离",2026-06-13
FB00019,support,数据分析师,导出功能,"报表模板太少，每次都得从头做",2026-06-19
FB00020,sales,客户成功,BI报表,"实时数据更新延迟太高，28分钟才刷新一次",2026-06-03
FB00021,in-app,技术负责人,移动端,"客户反馈渠道分散，汇总太麻烦",2026-06-05
FB00022,in-app,市场总监,数据分析,"竞品分析模块数据来源不够权威",2026-06-27
FB00023,sales,产品经理,通知系统,"NPS 评分趋势图时间范围选择不灵活",2026-06-20
FB00024,support,销售经理,数据分析,"客户画像标签体系不够完善",2026-06-13
FB00025,sales,CEO,通知系统,"工单分配逻辑不透明，经常分配错人",2026-06-21
FB00026,sales,财务经理,通知系统,"SLA 超时预警不及时",2026-06-09
FB00027,survey,HR主管,搜索功能,"知识库搜索结果排序不合理",2026-06-17
FB00028,support,CEO,搜索功能,"客户生命周期阶段定义不够清晰",2026-06-25
FB00029,appstore,技术负责人,导出功能,"自动化工作流配置门槛太高",2026-06-10
FB00030,in-app,客户成功,API接口,"报表分享链接过期时间太短",2026-06-16
FB00031,appstore,市场总监,导出功能,"数据看板不能嵌入到我们自己的系统里",2026-06-13
FB00032,sales,市场总监,通知系统,"A/B 测试结果分析维度不够",2026-06-25
FB00033,interview,财务经理,导出功能,"用户行为路径分析太粗糙",2026-06-10
FB00034,in-app,数据分析师,数据分析,"留存分析的同期群定义不直观",2026-06-05
FB00035,survey,财务经理,通知系统,"漏斗步骤之间的时间窗口设置有限制",2026-06-03
FB00036,appstore,CEO,用户管理,"自定义事件追踪配置太麻烦",2026-06-18
FB00037,interview,技术负责人,BI报表,"热力图数据不够精确",2026-06-06
FB00038,survey,客户成功,用户管理,"会话回放加载太慢",2026-06-05
FB00039,sales,客户成功,权限配置,"用户反馈情感分析准确率不高",2026-06-21
FB00040,interview,财务经理,BI报表,"标签管理没有批量操作",2026-06-27
FB00041,survey,客户成功,BI报表,"数据导出格式有限，缺少 Parquet",2026-06-07
FB00042,appstore,产品经理,权限配置,"Webhook 配置没有测试功能",2026-06-06
FB00043,appstore,销售经理,BI报表,"集成第三方工具的文档不完整",2026-06-11
FB00044,in-app,运营负责人,BI报表,"Dashboard 权限继承关系不清晰",2026-05-31
FB00045,survey,CEO,BI报表,"报表订阅管理入口太深",2026-06-04
FB00046,interview,财务经理,API接口,"数据字典维护成本高",2026-06-18
FB00047,survey,CEO,仪表盘,"告警规则配置没有模板",2026-06-11
FB00048,appstore,销售经理,权限配置,"API 调用频率限制文档不清楚",2026-06-20
FB00049,appstore,数据分析师,通知系统,"数据回溯能力不足，只能看13天内的",2026-06-23
FB00050,appstore,CEO,搜索功能,"客户分层模型不够灵活，不能自定义维度",2026-06-10
FB00051,interview,财务经理,通知系统,"续费看板金额和明细对不上，差了大概6万",2026-06-26
FB00052,community,财务经理,通知系统,"导出的字段顺序每次都不固定，能不能固定下来",2026-06-19
FB00053,interview,客户成功,数据分析,"希望能导出 PDF 格式的报告，客户需要正式文档",2026-05-31
FB00054,sales,运营负责人,用户管理,"数据分析页面加载太慢了，26秒都打不开",2026-06-01
