feedback_id,source,user_role,product_area,feedback_text,created_at
FB00001,support,CEO,仪表盘,"续费看板金额和明细对不上，差了大概11万",2026-06-12
FB00002,sales,CEO,用户管理,"导出的字段顺序每次都不固定，能不能固定下来",2026-06-04
FB00003,community,HR主管,通知系统,"希望能导出 PDF 格式的报告，客户需要正式文档",2026-06-14
FB00004,support,销售经理,API接口,"数据分析页面加载太慢了，30秒都打不开",2026-06-01
FB00005,appstore,销售经理,用户管理,"权限配置太复杂，新来的同事28天都搞不定",2026-06-11
FB00006,interview,产品经理,移动端,"移动端看板显示不全，iPhone上排版错乱",2026-06-14
FB00007,interview,运营负责人,仪表盘,"API 返回的数据格式和文档不一致",2026-06-11
FB00008,support,客户成功,仪表盘,"搜索功能经常搜不到想要的结果",2026-06-25
FB00009,in-app,市场总监,通知系统,"仪表盘的图表类型太少了，缺少漏斗图",2026-06-14
FB00010,community,财务经理,导出功能,"通知太多太频繁，希望能自定义规则",2026-06-03
FB00011,support,产品经理,API接口,"报表刷新后数据没有更新，需要手动清理缓存",2026-06-16
FB00012,survey,CEO,导出功能,"用户分群的条件设置不够灵活",2026-06-18
FB00013,support,CEO,权限配置,"漏斗分析的转化率计算好像有问题",2026-06-26
FB00014,survey,财务经理,仪表盘,"自定义指标的公式编辑器不好用",2026-06-21
FB00015,support,财务经理,用户管理,"数据导入的时候没有错误提示，导入完了才发现少数据",2026-06-11
FB00016,in-app,财务经理,BI报表,"希望能支持定时发送报表到邮箱",2026-06-09
FB00017,community,产品经理,仪表盘,"多语言支持不够完善，英文界面有翻译错误",2026-06-23
FB00018,sales,财务经理,仪表盘,"数据权限设置太粗，不能按部门隔离",2026-06-08
FB00019,appstore,市场总监,通知系统,"报表模板太少，每次都得从头做",2026-06-27
FB00020,survey,客户成功,数据分析,"实时数据更新延迟太高，19分钟才刷新一次",2026-06-15
FB00021,in-app,HR主管,导出功能,"客户反馈渠道分散，汇总太麻烦",2026-06-01
FB00022,in-app,产品经理,BI报表,"竞品分析模块数据来源不够权威",2026-06-07
FB00023,sales,产品经理,权限配置,"NPS 评分趋势图时间范围选择不灵活",2026-06-27
FB00024,appstore,数据分析师,仪表盘,"客户画像标签体系不够完善",2026-06-05
FB00025,community,HR主管,通知系统,"工单分配逻辑不透明，经常分配错人",2026-06-21
FB00026,community,HR主管,搜索功能,"SLA 超时预警不及时",2026-06-20
FB00027,support,数据分析师,通知系统,"知识库搜索结果排序不合理",2026-06-08
FB00028,in-app,数据分析师,仪表盘,"客户生命周期阶段定义不够清晰",2026-06-26
FB00029,survey,技术负责人,API接口,"自动化工作流配置门槛太高",2026-06-19
FB00030,survey,产品经理,导出功能,"报表分享链接过期时间太短",2026-06-20
FB00031,survey,市场总监,BI报表,"数据看板不能嵌入到我们自己的系统里",2026-06-21
FB00032,support,产品经理,仪表盘,"A/B 测试结果分析维度不够",2026-06-26
FB00033,support,市场总监,数据分析,"用户行为路径分析太粗糙",2026-06-02
FB00034,sales,产品经理,导出功能,"留存分析的同期群定义不直观",2026-06-14
FB00035,sales,技术负责人,权限配置,"漏斗步骤之间的时间窗口设置有限制",2026-06-08
FB00036,appstore,产品经理,BI报表,"自定义事件追踪配置太麻烦",2026-06-17
FB00037,community,CEO,搜索功能,"热力图数据不够精确",2026-06-17
FB00038,in-app,市场总监,导出功能,"会话回放加载太慢",2026-06-27
FB00039,interview,技术负责人,API接口,"用户反馈情感分析准确率不高",2026-06-15
FB00040,appstore,HR主管,通知系统,"标签管理没有批量操作",2026-06-10
FB00041,appstore,CEO,用户管理,"数据导出格式有限，缺少 Parquet",2026-06-01
FB00042,appstore,销售经理,移动端,"Webhook 配置没有测试功能",2026-06-13
FB00043,sales,市场总监,导出功能,"集成第三方工具的文档不完整",2026-06-03
FB00044,appstore,产品经理,搜索功能,"Dashboard 权限继承关系不清晰",2026-06-23
FB00045,interview,市场总监,数据分析,"报表订阅管理入口太深",2026-06-08
FB00046,in-app,运营负责人,API接口,"数据字典维护成本高",2026-06-05
FB00047,community,技术负责人,搜索功能,"告警规则配置没有模板",2026-05-31
FB00048,interview,HR主管,用户管理,"API 调用频率限制文档不清楚",2026-06-01
FB00049,support,HR主管,搜索功能,"数据回溯能力不足，只能看4天内的",2026-06-17
FB00050,support,运营负责人,BI报表,"客户分层模型不够灵活，不能自定义维度",2026-05-31
FB00051,in-app,财务经理,API接口,"续费看板金额和明细对不上，差了大概8万",2026-06-05
FB00052,in-app,销售经理,搜索功能,"导出的字段顺序每次都不固定，能不能固定下来",2026-06-26
FB00053,survey,市场总监,仪表盘,"希望能导出 PDF 格式的报告，客户需要正式文档",2026-06-10
FB00054,sales,产品经理,权限配置,"数据分析页面加载太慢了，26秒都打不开",2026-06-27
FB00055,survey,产品经理,BI报表,"权限配置太复杂，新来的同事24天都搞不定",2026-06-07
FB00056,sales,运营负责人,导出功能,"移动端看板显示不全，iPhone上排版错乱",2026-06-01
FB00057,support,HR主管,权限配置,"API 返回的数据格式和文档不一致",2026-06-04
FB00058,appstore,市场总监,仪表盘,"搜索功能经常搜不到想要的结果",2026-06-26
FB00059,in-app,运营负责人,搜索功能,"仪表盘的图表类型太少了，缺少漏斗图",2026-06-27
FB00060,support,市场总监,BI报表,"通知太多太频繁，希望能自定义规则",2026-06-25
FB00061,support,财务经理,导出功能,"报表刷新后数据没有更新，需要手动清理缓存",2026-06-12
FB00062,appstore,技术负责人,API接口,"用户分群的条件设置不够灵活",2026-06-23
FB00063,sales,市场总监,移动端,"漏斗分析的转化率计算好像有问题",2026-06-04
FB00064,community,CEO,移动端,"自定义指标的公式编辑器不好用",2026-06-24
FB00065,sales,财务经理,权限配置,"数据导入的时候没有错误提示，导入完了才发现少数据",2026-06-25
FB00066,sales,客户成功,仪表盘,"希望能支持定时发送报表到邮箱",2026-06-26
FB00067,support,HR主管,通知系统,"多语言支持不够完善，英文界面有翻译错误",2026-06-25
FB00068,community,销售经理,仪表盘,"数据权限设置太粗，不能按部门隔离",2026-06-19
FB00069,in-app,HR主管,仪表盘,"报表模板太少，每次都得从头做",2026-06-19
FB00070,survey,产品经理,用户管理,"实时数据更新延迟太高，24分钟才刷新一次",2026-06-10
FB00071,in-app,销售经理,数据分析,"客户反馈渠道分散，汇总太麻烦",2026-06-24
FB00072,appstore,客户成功,搜索功能,"竞品分析模块数据来源不够权威",2026-06-27
FB00073,sales,运营负责人,通知系统,"NPS 评分趋势图时间范围选择不灵活",2026-06-06
FB00074,interview,财务经理,仪表盘,"客户画像标签体系不够完善",2026-06-03
FB00075,sales,财务经理,BI报表,"工单分配逻辑不透明，经常分配错人",2026-06-27
FB00076,survey,市场总监,仪表盘,"SLA 超时预警不及时",2026-06-22
FB00077,interview,产品经理,移动端,"知识库搜索结果排序不合理",2026-06-08
FB00078,appstore,HR主管,数据分析,"客户生命周期阶段定义不够清晰",2026-06-15
FB00079,sales,运营负责人,数据分析,"自动化工作流配置门槛太高",2026-06-22
FB00080,in-app,客户成功,用户管理,"报表分享链接过期时间太短",2026-06-11
FB00081,support,数据分析师,搜索功能,"数据看板不能嵌入到我们自己的系统里",2026-06-11
FB00082,support,运营负责人,API接口,"A/B 测试结果分析维度不够",2026-06-03
FB00083,sales,数据分析师,移动端,"用户行为路径分析太粗糙",2026-06-19
FB00084,support,产品经理,搜索功能,"留存分析的同期群定义不直观",2026-06-13
FB00085,interview,运营负责人,权限配置,"漏斗步骤之间的时间窗口设置有限制",2026-06-25
FB00086,interview,技术负责人,通知系统,"自定义事件追踪配置太麻烦",2026-06-07
FB00087,appstore,运营负责人,权限配置,"热力图数据不够精确",2026-06-18
FB00088,sales,数据分析师,用户管理,"会话回放加载太慢",2026-06-16
FB00089,interview,HR主管,BI报表,"用户反馈情感分析准确率不高",2026-05-31
FB00090,appstore,财务经理,通知系统,"标签管理没有批量操作",2026-06-24
FB00091,appstore,财务经理,导出功能,"数据导出格式有限，缺少 Parquet",2026-06-20
FB00092,survey,技术负责人,权限配置,"Webhook 配置没有测试功能",2026-06-19
FB00093,interview,客户成功,BI报表,"集成第三方工具的文档不完整",2026-06-01
FB00094,appstore,HR主管,导出功能,"Dashboard 权限继承关系不清晰",2026-06-27
FB00095,support,客户成功,仪表盘,"报表订阅管理入口太深",2026-06-14
FB00096,appstore,技术负责人,导出功能,"数据字典维护成本高",2026-06-10
FB00097,appstore,技术负责人,搜索功能,"告警规则配置没有模板",2026-06-19
FB00098,support,CEO,权限配置,"API 调用频率限制文档不清楚",2026-06-21
FB00099,survey,销售经理,BI报表,"数据回溯能力不足，只能看10天内的",2026-06-27
FB00100,appstore,CEO,权限配置,"客户分层模型不够灵活，不能自定义维度",2026-06-05
FB00101,appstore,销售经理,搜索功能,"续费看板金额和明细对不上，差了大概10万",2026-06-25
FB00102,appstore,财务经理,移动端,"导出的字段顺序每次都不固定，能不能固定下来",2026-06-11
FB00103,appstore,运营负责人,通知系统,"希望能导出 PDF 格式的报告，客户需要正式文档",2026-06-25
FB00104,appstore,客户成功,通知系统,"数据分析页面加载太慢了，14秒都打不开",2026-06-13
FB00105,community,CEO,移动端,"权限配置太复杂，新来的同事10天都搞不定",2026-06-05
FB00106,sales,产品经理,数据分析,"移动端看板显示不全，iPhone上排版错乱",2026-06-27
FB00107,sales,HR主管,API接口,"API 返回的数据格式和文档不一致",2026-06-06
FB00108,appstore,客户成功,通知系统,"搜索功能经常搜不到想要的结果",2026-05-31
FB00109,appstore,市场总监,BI报表,"仪表盘的图表类型太少了，缺少漏斗图",2026-06-11
FB00110,support,产品经理,用户管理,"通知太多太频繁，希望能自定义规则",2026-06-08
FB00111,in-app,销售经理,数据分析,"报表刷新后数据没有更新，需要手动清理缓存",2026-05-31
FB00112,support,技术负责人,API接口,"用户分群的条件设置不够灵活",2026-06-25
FB00113,support,产品经理,仪表盘,"漏斗分析的转化率计算好像有问题",2026-06-05
FB00114,community,财务经理,API接口,"自定义指标的公式编辑器不好用",2026-06-10
FB00115,community,技术负责人,仪表盘,"数据导入的时候没有错误提示，导入完了才发现少数据",2026-06-02
FB00116,support,产品经理,数据分析,"希望能支持定时发送报表到邮箱",2026-06-08
FB00117,interview,财务经理,用户管理,"多语言支持不够完善，英文界面有翻译错误",2026-06-19
FB00118,interview,销售经理,仪表盘,"数据权限设置太粗，不能按部门隔离",2026-06-05
FB00119,interview,产品经理,移动端,"报表模板太少，每次都得从头做",2026-06-04
FB00120,community,HR主管,用户管理,"实时数据更新延迟太高，13分钟才刷新一次",2026-06-19
FB00121,in-app,CEO,API接口,"客户反馈渠道分散，汇总太麻烦",2026-06-02
FB00122,appstore,销售经理,仪表盘,"竞品分析模块数据来源不够权威",2026-06-08
FB00123,in-app,客户成功,BI报表,"NPS 评分趋势图时间范围选择不灵活",2026-06-21
FB00124,support,HR主管,搜索功能,"客户画像标签体系不够完善",2026-06-20
FB00125,sales,HR主管,BI报表,"工单分配逻辑不透明，经常分配错人",2026-06-22
FB00126,interview,CEO,通知系统,"SLA 超时预警不及时",2026-06-25
FB00127,in-app,产品经理,数据分析,"知识库搜索结果排序不合理",2026-06-14
FB00128,survey,客户成功,数据分析,"客户生命周期阶段定义不够清晰",2026-06-27
FB00129,sales,客户成功,通知系统,"自动化工作流配置门槛太高",2026-06-16
FB00130,interview,市场总监,BI报表,"报表分享链接过期时间太短",2026-06-15
FB00131,community,HR主管,搜索功能,"数据看板不能嵌入到我们自己的系统里",2026-05-31
FB00132,support,市场总监,仪表盘,"A/B 测试结果分析维度不够",2026-06-16
FB00133,survey,HR主管,数据分析,"用户行为路径分析太粗糙",2026-06-05
FB00134,sales,数据分析师,权限配置,"留存分析的同期群定义不直观",2026-06-04
FB00135,survey,运营负责人,API接口,"漏斗步骤之间的时间窗口设置有限制",2026-06-04
FB00136,support,数据分析师,权限配置,"自定义事件追踪配置太麻烦",2026-06-17
FB00137,survey,CEO,用户管理,"热力图数据不够精确",2026-06-01
FB00138,support,数据分析师,导出功能,"会话回放加载太慢",2026-06-12
FB00139,sales,CEO,导出功能,"用户反馈情感分析准确率不高",2026-06-04
FB00140,survey,产品经理,BI报表,"标签管理没有批量操作",2026-06-09
FB00141,in-app,CEO,通知系统,"数据导出格式有限，缺少 Parquet",2026-06-11
FB00142,support,数据分析师,通知系统,"Webhook 配置没有测试功能",2026-05-31
FB00143,survey,销售经理,通知系统,"集成第三方工具的文档不完整",2026-06-11
FB00144,in-app,CEO,API接口,"Dashboard 权限继承关系不清晰",2026-06-04
FB00145,interview,数据分析师,BI报表,"报表订阅管理入口太深",2026-06-16
FB00146,sales,销售经理,导出功能,"数据字典维护成本高",2026-06-26
FB00147,community,销售经理,数据分析,"告警规则配置没有模板",2026-06-06
FB00148,support,数据分析师,用户管理,"API 调用频率限制文档不清楚",2026-06-25
FB00149,survey,客户成功,搜索功能,"数据回溯能力不足，只能看13天内的",2026-06-04
FB00150,support,财务经理,数据分析,"客户分层模型不够灵活，不能自定义维度",2026-06-23
FB00151,in-app,客户成功,移动端,"续费看板金额和明细对不上，差了大概21万",2026-06-15
