raw_id,source,raw_text
RAW001,客服工单,下单的时候地址选择总是加载不出来，试了好几次都不行，最后只能手动输入，太耽误时间了。
RAW002,App评论,确认订单好慢啊。
RAW003,用户反馈,下单流程太复杂了，能不能简化点？
RAW004,运营数据,用户从加入购物车到下单的流失率很高，可能流程有问题。
RAW005,NPS,下单体验差。
RAW006,竞品分析,竞品的下单流程更顺畅，我们这里步骤太多。
RAW007,客服工单,填写收货信息时，保存按钮点了没反应。
RAW008,App评论,下单时总卡住。
RAW009,用户反馈,订单确认页面加载不出来商品图片。
RAW010,运营数据,下单成功率下降，可能与界面设计有关。
RAW011,NPS,下单太麻烦了。
RAW012,竞品分析,竞品支持快速下单，我们没有。
RAW013,客服工单,选择优惠券后，订单金额没更新。
RAW014,App评论,下单时网络错误。
RAW015,用户反馈,收货地址经常默认错误，得手动改。
RAW016,运营数据,用户反馈下单步骤平均耗时过长。
RAW017,NPS,流程不友好。
RAW018,竞品分析,竞品下单只需两步，我们要五步。
RAW019,客服工单,提交订单时一直转圈，等了很久。
RAW020,App评论,下单按钮点了没反应。
RAW021,用户反馈,结算页面信息混乱，看不清楚。
RAW022,运营数据,下单页面跳出率高。
RAW023,NPS,下单体验糟糕。
RAW024,竞品分析,竞品下单流程更直观。
RAW025,客服工单,下单时经常遇到服务器错误，提示'系统繁忙'。
RAW026,客服工单,支付失败，请重试。
RAW027,App评论,支付失败，再试一次。
RAW028,用户反馈,支付失败，请稍后再试。
RAW029,运营数据,支付成功率下降，可能与支付接口有关。
RAW030,NPS,支付老是失败。
RAW031,竞品分析,竞品支付更稳定。
RAW032,客服工单,用信用卡支付时显示'网络错误'，但我其他app支付没问题，是不是你们支付系统有问题啊？
RAW033,App评论,银行卡支付失败。
RAW034,用户反馈,支付超时了，钱扣了但订单没生成。
RAW035,运营数据,用户反馈支付失败率高。
RAW036,NPS,支付体验差。
RAW037,竞品分析,竞品支持更多支付方式，失败少。
RAW038,客服工单,支付时提示'银行拒绝交易'，但我卡里有钱。
RAW039,App评论,支付失败，提示'系统维护'。
RAW040,用户反馈,微信支付失败，重试了好几次。
RAW041,运营数据,支付失败导致订单取消率上升。
RAW042,NPS,支付经常出问题。
RAW043,竞品分析,竞品支付过程更流畅。
RAW044,客服工单,支付失败后，优惠券也用不了了，得重新选。
RAW045,App评论,支付失败，钱被扣了但订单没确认。
RAW046,客服工单,商品详情页加载特别慢，等了快一分钟才完全显示，我差点就关掉了。
RAW047,App评论,加载太慢了。
