raw_id,source,raw_text
RAW001,客服工单,为啥我点注册没反应啊？点了好几次了。
RAW002,问卷,注册时，公司名称那个框，我不知道该填啥，没有指引。
RAW003,App评论,手机号注册，验证码等了5分钟都没来。
RAW004,用户访谈,我走完注册流程，结果直接跳到了一个空白页，啥也没有，我以为注册失败了。
RAW005,邮件反馈,你们那个注册页面的“下一步”按钮，颜色太浅了，我找了一会儿。
RAW006,销售转述,客户反馈说，用邮箱注册，验证邮件在垃圾箱里，差点错过。
RAW007,NPS评论,注册流程还算快。
RAW008,客服工单,我用的第三方微信登录，授权成功后，还是提示我要注册，啥意思？
RAW009,问卷,密码规则太复杂了，又要大写又要特殊字符，记不住。
RAW010,App评论,注册信息要求也太多了，我只是想试试，感觉像在办信用卡。
RAW011,邮件反馈,提交注册表单后，页面转圈转了一分钟，然后报错“网络异常”，但我的网是好的。
RAW012,用户访谈,能用手机号直接注册登录吗？每次输邮箱好麻烦。
RAW013,客服工单,注册。
RAW014,销售转述,销售小王说，客户觉得邀请码注册那步多余，不知道去哪里找邀请码。
RAW015,NPS评论,注册页面有点丑。
RAW016,问卷,注册成功后的欢迎页面，引导视频加载不出来，一片黑。
RAW017,App评论,注册时选行业分类，选项太少，找不到完全匹配的。
RAW018,邮件反馈,我在iPad上注册，页面排版是乱的，按钮重叠了。
RAW019,用户访谈,整个注册过程大概花了我3分钟，比我想的快，但中途有两次不确定下一步是什么。
RAW020,客服工单,我注册填错了一个字段，想回去改，发现不能后退，只能刷新重来。
RAW021,销售转述,有个大客户反馈，他们公司邮箱收不到你们的验证邮件，怀疑被企业防火墙拦截了。
RAW022,NPS评论,注册很快，不错。
RAW023,问卷,手机收不到验证码
RAW024,App评论,注册页面那个隐私政策的勾选框，太小了，在手机上老是点不到。
RAW025,邮件反馈,能简化下注册表单吗？好多信息其实可以之后再补充。
RAW026,客服工单,为啥我老是登录不上去？密码明明是对的。
RAW027,用户访谈,忘记密码功能，点了之后链接发邮箱，但链接24小时就过期了，出差回来发现打不开。
RAW028,App评论,验证码图片太模糊了，数字都看不清。
RAW029,邮件反馈,登录按钮是灰色的，点不了，怎么回事？
RAW030,NPS评论,登录总失败，差评。
RAW031,客服工单,我在电脑上登录后，想在手机上也登，电脑端就被踢掉了，这很不方便。
RAW032,销售转述,销售李经理转述：客户抱怨说二次验证太麻烦了，每次登录都要输。
RAW033,问卷,登录页面加载好慢，经常卡在那儿。
RAW034,App评论,邮箱验证邮件，在垃圾邮箱。
RAW035,邮件反馈,手机验证码有效期太短了，我切出去看一眼短信再回来就过期了。
RAW036,用户访谈,登录进去之后，页面是空白的，等了十几秒才加载出内容，体验不好。
RAW037,客服工单,自动登录功能好像失效了，每次关掉浏览器再开都要重新登录。
RAW038,NPS评论,登录速度很快。
RAW039,问卷,登录时，微信扫码总是识别失败。
RAW040,App评论,输入密码时，那个显示密码的小眼睛图标，点了没反应。
RAW041,邮件反馈,我试了三次不同的密码都登不上，最后才发现是没开大写锁定，提示能不能更明确点？
RAW042,用户访谈,用社交账号（谷歌）登录后，不知道怎么设置个独立的密码，心里不踏实。
RAW043,客服工单,登陆。
RAW044,销售转述,客户说他们公司网络限制，无法访问谷歌服务器，导致谷歌登录方式完全用不了。
RAW045,问卷,登录成功的提示太不明显了，我都不知道已经登录了。
RAW046,App评论,手机App登录和网页端登录账号不通？我用同一个邮箱，说没注册。
RAW047,邮件反馈,密码找回邮件发得慢，等了半小时。
RAW048,客服工单,我邀请同事加入团队，他收到邮件但链接点不开，显示已失效。
RAW049,用户访谈,权限管理后台太复杂了，我只想让新人能看文档，不能改，但选项太多，搞不懂。
